192.168.2.3 - - [19/Aug/2022:01:31:37 +0800] "GET /demo/main.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:31:37 +0800] "GET /demo/libffmpeg_264_265.wasm HTTP/1.1" 200 2061766 "http://192.168.2.6/demo/main.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:33:06 +0800] "GET /demo/main.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:36:06 +0800] "GET /demo/main.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:36:45 +0800] "GET /demo/main.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:37:07 +0800] "GET /demo/main.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:37:55 +0800] "GET /demo/main.html HTTP/1.1" 200 1101 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:21 +0800] "GET /demo/main.html HTTP/1.1" 200 1102 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:28 +0800] "GET /demo/main.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:29 +0800] "GET /demo/main.html HTTP/1.1" 200 1102 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:29 +0800] "GET /demo/libffmpeg_264_265.js HTTP/1.1" 200 107903 "http://192.168.2.6/demo/main.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:29 +0800] "GET /demo/video.js HTTP/1.1" 200 4813 "http://192.168.2.6/demo/main.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:29 +0800] "GET /demo/audio.js HTTP/1.1" 200 7488 "http://192.168.2.6/demo/main.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:29 +0800] "GET /demo/webgl.js HTTP/1.1" 200 5634 "http://192.168.2.6/demo/main.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:29 +0800] "GET /favicon.ico HTTP/1.1" 404 555 "http://192.168.2.6/demo/main.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
192.168.2.3 - - [19/Aug/2022:01:38:29 +0800] "GET /demo/libffmpeg_264_265.wasm HTTP/1.1" 200 2061766 "http://192.168.2.6/demo/main.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54"
